Single Measure,Modality,no,Item,Description,ItemType,Required,Values,Unnamed: 8
1,Pathology,12,path_braak_nft,Braak Tangle stage,string,nullable,"[""0"", ""I"", ""II"", ""III"", ""IV"", ""V"", ""VI"", ""I/II"", ""III/IV"", ""IV/V"", ""V/VI""]",
1,Pathology,13,path_braak_asyn,Braak LB stage,string,nullable,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""1/2"", ""3/4"", ""4/5"", ""5/6""]",
1,Pathology,14,path_cerad,Semiquantitative assessment of neuritic plaques,string,nullable,"[""None"", ""Sparse"", ""Moderate"", ""Frequent""]",
1,Pathology,15,path_thal,Thal stage: Amyloid beta,string,nullable,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""1/2"", ""3"", ""4/5""]",
1,Pathology,17,path_mckeith,McKeith and USSLBD Stage,string,nullable,"[""Neocortical"", ""Limbic (transitional)"" ,""Brainstem"", ""Amygdala Predominant"", ""Olfactory bulb only""]",
1,Pathology,18,path_sn_neuronal_loss,"SN neuronal loss (none, mild, moderate, severe, 0-3)",string,nullable,"[""None"", ""Mild"", ""Moderate"", ""Severe""]",
1,Pathology,19,path_infarcts,Cerebral infarcts (indicator for a large infarct or in study region),string,nullable,"[""Yes"", ""No""]",
1,Pathology,20,path_nia_ri,NIA_RI criteria,string,nullable,"['low', 'intermediate', 'high', 'none']",
1,Pathology,21,path_nia_aa_amyloid,NIA_AA criteria (pathological. not biomarker criteria),string,nullable,"[""A1"",""A2"",""A3""]",
1,Pathology,22,path_nia_aa_braak,NIA_AA criteria (pathological. not biomarker criteria),string,nullable,"[""B1"",""B2"",""B3""]",
1,Pathology,23,path_nia_aa_cerad,NIA_AA criteria (pathological. not biomarker criteria),string,nullable,"[""C1"",""C2"",""C3""]",
1,Pathology,24,known_pathogenic_mutation,"MutationNOS (any known relevant mutation or polymorphisms, name?)",string,nullable,,
1,Pathology,25,arteriolosclerosis_severity_scale,Arteriolosclerosis severity scale,string,nullable,"[""None"", ""Mild"", ""Moderate"", ""Severe"", ""Not assessed"", ""Unknown""]",
1,Pathology,26,atherosclerosis,Atherosclerosis severity scale,string,nullable,"[""None"", ""Mild"", ""Moderate"", ""Severe"", ""Not assessed"", ""Unknown""]",
1,Pathology,27,amyloid_angiopathy_severity_scale,Amyloid angiopathy severity scale,string,nullable,"[""None"", ""Mild"", ""Moderate"", ""Severe"", ""Not assessed"", ""Unknown""]",
0,Availability,1,availability_plasma,Plasma,string,nullable,"[""Yes"", ""No""]",
0,Availability,2,availability_serum,Serum,string,nullable,"[""Yes"", ""No""]",
0,Availability,3,availability_pbl,PBL (Peripheral blood lymphocytes),string,nullable,"[""Yes"", ""No""]",
0,Availability,4,availability_lcl,LCL (Lymphoblastoid cell lines),string,nullable,"[""Yes"", ""No""]",
0,Availability,5,availability_skin,Skin,string,nullable,"[""Yes"", ""No""]",
0,Availability,6,availability_ips,iPS,string,nullable,"[""Yes"", ""No""]",
0,Availability,7,availability_brain,Post-mortem brain,string,nullable,"[""Yes"", ""No""]",
0,Availability,8,availability_csf,CSF,string,nullable,"[""Yes"", ""No""]",
0,Availability,9,availability_dna,DNA,string,nullable,"[""Yes"", ""No""]",
0,Availability,10,availability_rna,RNA,string,nullable,"[""Yes"", ""No""]",
0,Availability,11,availability_methylation,Methylation data,string,nullable,"[""Yes"", ""No""]",
0,Availability,12,availability_metabolomics,Metabolomics data,string,nullable,"[""Yes"", ""No""]",
0,Availability,13,availability_proteomics,Proteomics data,string,nullable,"[""Yes"", ""No""]",
0,Availability,14,availability_exome_seq,Exome sequence files,string,nullable,"[""Yes"", ""No""]",
0,Availability,15,availability_wgs,Whole genome sequencing file,string,nullable,"[""Yes"", ""No""]",
0,Availability,16,availability_rna_expression,RNA expression data,string,nullable,"[""Yes"", ""No""]",
0,Availability,17,availability_mri,MRI,string,nullable,"[""Yes"", ""No""]",
0,Availability,18,availability_spect,SPECT (e.g. DATSCAN),string,nullable,"[""Yes"", ""No""]",
0,Availability,19,availability_pet,PET,string,nullable,"[""Yes"", ""No""]",
0,Availability,20,availability_path_report,Pathology report,string,nullable,"[""Yes"", ""No""]",
0,SAA Positivity,1,saa_assay,Name of SAA assay used (free text),string,nullable,,
0,SAA Positivity,2,saa_results,SAA results (categorical),string,nullable,"[""MSA"",""DLB"",""PD"",""DLB/PD"",""Inconclusive"",""Negative"",""Positive (no distinction)""]",
0,SAA Postivity,3,saa_positive,Was SAA result positive?,string,nullable,"[""Yes"",""No""]",
0,SAA Positivity,4,saa_fmax,Max fluorescence (average of replicates),numeric,nullable,,
0,SAA Positivity,5,saa_ttt,Average time to threshold,numeric,nullable,,
0,SAA Positivity,6,saa_auc,Average area under the curve,numeric,nullable,,
0,SAA Positivity,7,saa_smax,Max slope (average of replicates),numeric,nullable,,
0,SAA Positivity,8,saa_tsmax,Average time to max slope,numeric,nullable,,
0,SAA Positivity,9,saa_n_replicates,Number of replicates,numeric,nullable,,
0,SAA Positivity,10,ssa_n_positive,Number of positive replicates (wells),numeric,nullable,,
0,MDS-MSA,1,mds_msa_core_voiding_difficulty,Unexplained voiding difficulties,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,2,mds_msa_core_voiding_difficulty_any_residual,Unexplained voiding difficulties with post-void urinary residual of any volume (for clinically probable MSA),string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,3,mds_msa_core_voiding_difficulty_residual_over_100,Unexplained voiding difficulties with post-void urinary residual volume >100 mL (for clinically established MSA) ,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,4,mds_msa_core_urinary_incontinence,Unexplained urinary urge incontinence,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,5,mds_msa_core_neuro_OH_3min,Neurogenic OH: ≥20 mmHg systolic BP drop usually accompanied by a diastolic BP drop of ≥10 mmHg and ΔHR/ΔSBP ratio < 0.5 bpm/mmHg within 3 minutes (for clinically established MSA) of standing or head up tilt using oscillometric measurements.,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,6,mds_msa_core_neuro_OH_10min,Neurogenic OH:  ≥20 mmHg systolic BP drop usually accompanied by a diastolic BP drop of ≥10 mmHg and ΔHR/ΔSBP ratio < 0.5 bpm/mmHg within 10 minutes (for clinically probable MSA) of standing or head up tilt using oscillometric measurements.,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,7,mds_msa_core_parkinsonism,Parkinsonism: Presence of bradykinesia plus rigidity or tremor judged by a movement disorder specialist after examination carried out as described in the MDS-UPDRS III,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,8,mds_msa_core_poor_LD_resp_parkinsonism,Poor L-dopa responsiveness (for clinically established MSA): Defined by history or as <30% improvement on the MDS-UPDRS III,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,9,mds_msa_core_cerebellar_2,"Cerebellar syndrome: At least two (for clinically established MSA) of gait ataxia, limb ataxia, cerebellar dysarthria, or oculomotor dysfunction; oculomotor features = sustained nystagmus (gaze-evoked horizontal or downbeat) or saccadic hypermetria.",string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,10,mds_msa_core_cerebellar_1,"Cerebellar syndrome: At least one (for clinically probable MSA) of gait ataxia, limb ataxia, cerebellar dysarthria, or oculomotor dysfunction; oculomotor features = sustained nystagmus (gaze-evoked horizontal or downbeat) or saccadic hypermetria. ",string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,11,mds_msa_support_rapid_progr_3y,Rapid progression within 3 years of motor onset,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,12,mds_msa_support_post_inst_3y,Moderate to severe postural instability within 3 years of motor onset,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,13,mds_msa_support_cranio_dystonia,Craniocervical dystonia induced or exacerbated by L-dopa in the absence of limb dyskinesia,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,14,mds_msa_support_speech_imp_3y,Severe speech impairment within 3 years of motor onset,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,15,mds_msa_support_dysphagia_3y,Severe dysphagia within 3 years of motor onset,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,16,mds_msa_support_babinski,Unexplained Babinski sign,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,17,mds_msa_support_jerky_tremor,Jerky myoclonic postural or kinetic tremor,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,18,mds_msa_support_post_deformities,Postural deformities,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,19,mds_msa_support_stridor,Stridor,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,20,mds_msa_support_inspiratory_sighs,Inspiratory sighs,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,21,mds_msa_support_cold_handsfeet,Cold discolored hands and feet,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,22,mds_msa_support_ED,Erectile dysfunction (below age of 60 years for clinically probable MSA),string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,23,mds_msa_support_path_laugh_cry,Pathologic laughter or crying,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,24,mds_msa_MRI_markers_MSA_P,MRI markers: MSA-P,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,25,mds_msa_MRI_markers_MSA_C,MRI markers: MSA-C,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,26,mds_msa_exclusion_01_good_levodopa_response,MSA exclusion 01: Substantial and persistent beneficial response to dopaminergic medications,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,27,mds_msa_exclusion_02_unexplained_anosmia,MSA exclusion 02: Unexplained anosmia on olfactory testing,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,28,mds_msa_exclusion_03_fluctuating_cognition,MSA exclusion 03: Fluctuating cognition with pronounced variation in attention and alertness and early decline in visuoperceptual abilities,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,29,mds_msa_exclusion_04_visual_hallucinations,MSA exclusion 04: Recurrent visual hallucinations not induced by drugs within 3 years of disease onset,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,30,mds_msa_exclusion_05_dementia_within_3y,MSA exclusion 05: Dementia according to DSM-V within 3 years of disease onset,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,31,mds_msa_exclusion_06_PSP_signs,MSA exclusion 06: Downgaze supranuclear palsy or slowing of vertical saccades,string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,32,mds_msa_exclusion_07_MRI_findings,"MSA exclusion 07: Brain MRI findings suggestive of an alternative diagnosis (e.g. PSP, multiple sclerosis, vascular parkinsonism, symptomatic cerebellar disease, etc.)",string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,33,mds_msa_exclusion_08_alternative_condition,"MSA exclusion 08: Documentation of an alternative condition (MSA look-alike, including genetic or symptomatic ataxia and parkinsonism) known to produce autonomic failure, ataxia, or parkinsonism and plausibly connected to the patient's symptoms",string,nullable,"[""Yes"", ""No""]",
0,MDS-MSA,34,mds_msa_criteria_application,MDS-MSA criteria application,string,nullable,"[""Established MSA"", ""Established MSA-P"", ""Established MSA-C"", ""Probable MSA""",
0,MDS-PSP,1,mds_psp_inclusion_B1_1,Mandatory inclusion B1: 1 - Sporadic occurrence,string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,2,mds_psp_inclusion_B1_2,Mandatory inclusion B1: 2 - Age 40 or older at onset of first PSP-related symptom,string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,3,mds_psp_inclusion_B1_3,Mandatory inclusion B1: 3 - Gradual progression of PSP-related symptoms,string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,4,mds_psp_exclusion_B2_clinical_1,"Mandatory exclusion B2: Clinical 1 - Predominant, otherwise unexplained impairment of episodic memory, suggestive of AD",string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,5,mds_psp_exclusion_B2_clinical_2,"Mandatory exclusion B2: Clinical 2 - Predominant, otherwise unexplained autonomic failure, e.g., orthostatic hypotension (orthostatic reduction in blood pressure after 3 minutes standing ≥30 mm Hg systolic or ≥15 mm Hg diastolic), suggestive of multiple system atrophy or Lewy body disease",string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,6,mds_psp_exclusion_B2_clinical_3,"Mandatory exclusion B2: Clinical 3 - Predominant, otherwise unexplained visual hallucinations or fluctuations in alertness, suggestive of dementia with Lewy bodies",string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,7,mds_psp_exclusion_B2_clinical_4,"Mandatory exclusion B2: Clinical 4 - Predominant, otherwise unexplained multisegmental upper and lower motor neuron signs, suggestive of motor neuron disease (pure upper motor neuron signs are not an exclusion criterion)",string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,8,mds_psp_exclusion_B2_clinical_5,"Mandatory exclusion B2: Clinical 5 - Sudden onset or step-wise or rapid progression of symptoms, in conjunction with corresponding imaging or laboratory findings, suggestive of vascular etiology, autoimmune encephalitis, metabolic encephalopathies, or prion disease",string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,9,mds_psp_exclusion_B2_clinical_6,Mandatory exclusion B2: Clinical 6 - History of encephalitis,string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,10,mds_psp_exclusion_B2_clinical_7,Mandatory exclusion B2: Clinical 7 - Prominent appendicular ataxia,string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,11,mds_psp_exclusion_B2_clinical_8,"Mandatory exclusion B2: Clinical 8 - Identifiable cause of postural instability, e.g., primary sensory deficit, vestibular dysfunction, severe spasticity, or lower motor neuron syndrome",string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,12,mds_psp_exclusion_B2_imaging_1,"Mandatory exclusion B2: Imaging 1 - Severe leukoencephalopathy, evidenced by cerebral imaging",string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,13,mds_psp_exclusion_B2_imaging_2,"Mandatory exclusion B2: Imaging 2 - Relevant structural abnormality, e.g., normal pressure or obstructive hydrocephalus; basal ganglia, diencephalic, mesencephalic, pontine or medullary infarctions, hemorrhages, hypoxic-ischemic lesions, tumors, or malformations",string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,14,mds_psp_oculomotor_dysfunction_O1,Ocular motor dysfunction O1: Vertical supranuclear gaze palsy,string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,15,mds_psp_oculomotor_dysfunction_O2,Ocular motor dysfunction O2: Slow velocity of vertical saccades,string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,16,mds_psp_oculomotor_dysfunction_O3,Ocular motor dysfunction O3: Frequent macro square wave jerks or “eyelid opening apraxia”,string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,17,mds_psp_postural_instability_P1,Postural instability P1: Repeated unprovoked falls within 3 years of PSP-related features/symptoms,string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,18,mds_psp_postural_instability_P2,Postural instability P2: Tendency to fall on the pull-test within 3 years of PSP-related features/symptoms,string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,19,mds_psp_postural_instability_P3,Postural instability P3: More than two steps backward on the pull-test within 3 years of PSP-related features/symptom,string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,20,mds_psp_akinesia_A1,Akinesia A1: Progressive gait freezing within 3 years of PSP related features/symtpoms,string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,21,mds_psp_akinesia_A2,"Akinesia A2: Parkinsonism, akinetic-rigid, predominantly axial, and levodopa resistant",string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,22,mds_psp_akinesia_A3,"Akinesia A3: Parkinsonism, with tremor and/or asymmetric and/or levodopa responsive",string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,23,mds_psp_cognitive_dysfunction_C1,"Cognitive dysfunction C1: Speech/language disorder, i.e., nonfluent/agrammatic variant of primary progressive aphasia or progressive apraxia of speech",string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,24,mds_psp_cognitive_dysfunction_C2,Cognitive dysfunction C2: Frontal cognitive/behavioral presentation,string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,25,mds_psp_cognitive_dysfunction_C3,Cognitive dysfunction C3: Corticobasal syndrome,string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,26,mds_psp_supp_clinical_clues_CC1,Clinical clues CC1: Levodopa-resistance,string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,27,mds_psp_supp_clinical_clues_CC2,"Clinical clues CC2: Hypokinetic, spastic dysarthria",string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,28,mds_psp_supp_clinical_clues_CC3,Clinical clues CC3: Dysphagia,string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,29,mds_psp_supp_clinical_clues_CC4,Clinical clues CC4: Photophobia,string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,30,mds_psp_supp_imaging_IF1,Imaging findings IF1: Predominant midbrain atrophy or hypometabolism,string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,31,mds_psp_supp_imaging_IF2,Imaging findings IF2: Postsynaptic striatal dopaminergic degeneration,string,nullable,"[""Yes"", ""No""]",
0,MDS-PSP,32,mds_psp_applied_criteria,MDS-PSP applied criteria,string,nullable,"[""Probable"", ""Possible"", ""Suggestive"", ""No""]",
0,CBS-Armstrong,1,cbs_armstrong_01_asymm_limb_rigidity_akinesia,Asymmetric limb rigidity or akinesia,integer,nullable,"y.isin([0,1])",
0,CBS-Armstrong,2,cbs_armstrong_02_asymm_limb_dystonia,Asymmetric limb dystonia,integer,nullable,"y.isin([0,1])",
0,CBS-Armstrong,3,cbs_armstrong_03_asymm_limb_myoclonus,Asymmetric limb myoclonus,integer,nullable,"y.isin([0,1])",
0,CBS-Armstrong,4,cbs_armstrong_04_symm_limb_rigidity_akinesia,Symmetric limb rigidity or akinesia,integer,nullable,"y.isin([0,1])",
0,CBS-Armstrong,5,cbs_armstrong_05_symm_limb_dystonia,Symmetric limb dystonia,integer,nullable,"y.isin([0,1])",
0,CBS-Armstrong,6,cbs_armstrong_06_symm_limb_myoclonus,Symmetric limb myoclonus,integer,nullable,"y.isin([0,1])",
0,CBS-Armstrong,7,cbs_armstrong_07_orobuccal_limb_apraxia,Orobuccal or limb apraxia,integer,nullable,"y.isin([0,1])",
0,CBS-Armstrong,8,cbs_armstrong_08_corticosensory_deficit,Cortical sensory deficit,integer,nullable,"y.isin([0,1])",
0,CBS-Armstrong,9,cbs_armstrong_09_alien limb,Alien limb phenomena (more than simple levitation),integer,nullable,"y.isin([0,1])",
0,CBS-Armstrong,10,cbs_armstrong_criteria_application,CBS applied criteria,string,nullable,"[""Possible"", ""Probable"", ""No""]",
0,CBD-Armstrong,1,cbd_armstrong_research_criteria_01_presentation,CBD research criteria 01: Insidious onset and gradual presentation,string,nullable,"[""Yes"", ""No""]",
0,CBD-Armstrong,2,cbd_armstrong_research_criteria_02_symptom_duration,CBD research criteria 02: Minimum duration of symptoms >1 year,string,nullable,"[""Yes"", ""No""]",
0,CBD-Armstrong,3,cbd_armstrong_research_criteria_03_age_onset,CBD research criteria 03: Age at onset ≥ 50 years,string,nullable,"[""Yes"", ""No""]",
0,CBD-Armstrong,4,cbd_armstrong_research_criteria_04_fam_hx,CBD research criteria 04: No family history (fewer than 2 relatives affected),string,nullable,"[""Yes"", ""No""]",
0,CBD-Armstrong,5,cbd_armstrong_research_criteria_05_permitted_phenotype,"CBD research criteria 05: Has permitted phenotypes, which are 1) Probable CBS or 2) FBS or NAV plus ≥1 CBS feature  ",string,nullable,"[""Yes"", ""No""]",
0,CBD-Armstrong,6,cbd_armstrong_research_criteria_06_genetic_cause,CBD research criteria 06: No genetic mutation affecting Tau (e.g. MAPT),string,nullable,"[""Yes"", ""No""]",
0,CBD-Armstrong,7,cbd_armstrong_exclusion_criteria_01_evidence_LBD,"CBD exclusion criteria 01: Evidence of LBD; classic 4Hz Parkinson's disease resting tremor, excellent and sustained levodopa response, or hallucinations",string,nullable,"[""Yes"", ""No""]",
0,CBD-Armstrong,8,cbd_armstrong_exclusion_criteria_02_evidence_MSA,CBD exclusion criteria 02: Evidence of MSA; dysautonomia or prominent cerebellar signs,string,nullable,"[""Yes"", ""No""]",
0,CBD-Armstrong,9,cbd_armstrong_exclusion_criteria_03_evidence_ALS,CBD exclusion criteria 03: Evidence of ALS; presence of both upper and lower motor neuron signs,string,nullable,"[""Yes"", ""No""]",
0,CBD-Armstrong,10,cbd_armstrong_exclusion_criteria_04_evidence_PPA,CBD exclusion criteria 04: Semantic- or logopenic-variant PPA,string,nullable,"[""Yes"", ""No""]",
0,CBD-Armstrong,11,cbd_armstrong_exclusion_criteria_05_focal_lesion,CBD exclusion criteria 05: Structural lesion suggestive of focal cause,string,nullable,"[""Yes"", ""No""]",
0,CBD-Armstrong,12,cbd_armstrong_exclusion_criteria_06_granulin_mutation,CBD exclusion criteria 06: Granulin mutation or reduced plasma progranulin levels; TDP-43 mutations; FUS mutations,string,nullable,"[""Yes"", ""No""]",
0,CBD-Armstrong,13,cbd_armstrong_exclusion_criteria_07_evidence_AD,"CBD exclusion criteria 07: Evidence of Alzheimer's disease (excludes CBD with coexisting amyloid); laboratory findings strongly suggestive of AD such as low CSF Aβ42 to Tau ratio or positive Pittsburgh PET; or genetic mutation suggesting AD (e.g. PSEN, APP)",string,nullable,"[""Yes"", ""No""]",
0,CBD-Armstrong,14,cbd_armstrong_criteria_application,CBD applied criteria,string,nullable,"[""Possible"", ""Probable"", ""No""]",
0,DLB,1,dlb_essential_dementia,"Dementia. In the early stages, prominent memory impairment may not occur, but deficits of attention, executive function, and visuoperceptual ability may be prominent.",string,nullable,"[""Yes"", ""No""]",
0,DLB,2,dlb_core_01_cognitive_fluctutations,Fluctuating cognition with pronounced variations in attention and alertness,string,nullable,"[""Yes"", ""No""]",
0,DLB,3,dlb_core_02_visual_hallucinations,Recurrent visual hallucinations that are typically well formed and detailed,string,nullable,"[""Yes"", ""No""]",
0,DLB,4,dlb_core_03_RBD,"Rapid eye movement (REM) sleep behavior disorder (RBD), which may precede cognitive decline",string,nullable,"[""Yes"", ""No""]",
0,DLB,5,dlb_core_04_parkinsonism,"One or more spontaneous cardinal features of parkinsonism: bradykinesia, resting tremor, or rigidity",string,nullable,"[""Yes"", ""No""]",
0,DLB,6,dlb_supportive_01_sensitivity_antipsychotics,Severe sensitivity to antipsychotic agents,string,nullable,"[""Yes"", ""No""]",
0,DLB,7,dlb_supportive_02_postural insitability,Postural instability,string,nullable,"[""Yes"", ""No""]",
0,DLB,8,dlb_supportive_03_repeated_falls,Repeated falls,string,nullable,"[""Yes"", ""No""]",
0,DLB,9,dlb_supportive_04_syncope_unresponsiveness,Syncope or other transient episodes of unresponsiveness,string,nullable,"[""Yes"", ""No""]",
0,DLB,10,dlb_supportive_05_autonomic_dysfunction,"Severe autonomic dysfunction (e.g. constipation, orthostatic hypotension, or urinary incontinence)",string,nullable,"[""Yes"", ""No""]",
0,DLB,11,dlb_supportive_06_hypersomnia,Hypersomnia,string,nullable,"[""Yes"", ""No""]",
0,DLB,12,dlb_supportive_07_hyposmia,Hyposmia,string,nullable,"[""Yes"", ""No""]",
0,DLB,13,dlb_supportive_08_other_hallucinations,Hallucinations in other modalities,string,nullable,"[""Yes"", ""No""]",
0,DLB,14,dlb_supportive_09_systematised_delusions,Systematized delusions,string,nullable,"[""Yes"", ""No""]",
0,DLB,15,dlb_supportive_10_apathy_anxiety_depression,"Apathy, anxiety, and depression",string,nullable,"[""Yes"", ""No""]",
0,DLB,16,dlb_indicative_biomarkers_01_reduced_DA_SPECT_PET,Reduced dopamine transporter uptake in basal ganglia demonstrated by SPECT/PET,string,nullable,"[""Yes"", ""No""]",
0,DLB,17,dlb_indicative_biomarkers_02_low_MIBG,Abnormal (low uptake) 123I-MIBG myocardial scintigraphy,string,nullable,"[""Yes"", ""No""]",
0,DLB,18,dlb_indicative_biomarkers_03_polysomnograph,Polysomnographic confirmation of REM sleep without atonia,string,nullable,"[""Yes"", ""No""]",
0,DLB,19,dlb_supportive_biomarkers_01_MTL_preservation,A relative preservation of medial temporal lobe structures on CT/MRI scan,string,nullable,"[""Yes"", ""No""]",
0,DLB,20,dlb_supportive_biomarkers_02_low_perfusion_metabolism_SPECT_PET,Generalized low uptake on SPECT/PET perfusion/metabolism scan with reduced occipital activity ± the cingulate island sign on FDG-PET imaging,string,nullable,"[""Yes"", ""No""]",
0,DLB,21,dlb_supportive_biomarkers_03_posterior_slow_EEG_fluctuations,Prominent posterior slow-wave activity on EEG with periodic fluctuations in the pre-alpha/theta range,string,nullable,"[""Yes"", ""No""]",
0,DLB,22,dlb_criteria_application,DLB criteria application,string,nullable,"[""No"", ""Possible"", ""Probable""]",
0,UMSARS part I ,1,umsars_i_01_speech,Speech,integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part I,2,umsars_i_02_swallowing,Swallowing,integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part I,3,umsars_i_03_handwriting,Handwriting,integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part I,4,umsars_i_04_food_utensils,Cutting food and handling utensils,integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part I,5,umsars_i_05_dressing,Dressing,integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part I,6,umsars_i_06_hygiene,Hygiene,integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part I,7,umsars_i_07_walking,Walking,integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part I,8,umsars_i_08_falling_rate,Falling (past month),integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part I,9,umsars_i_09_orthostatic_symptoms,Orthostatic symptoms,integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part I,10,umsars_i_10_urinary_function,Urinary function (symptoms not due to other causes),integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part I,11,umsars_i_11_sexual_function,Sexual function,integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part I,12,umsars_i_12_bowel_function,Bowel function,integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part I,13,umsars_i_summary_score,UMSARS part I summary score,integer,nullable,(y>=0) & (y<=48),
0,UMSARS part II,14,umsars_ii_01_facial_expression,Facial expression,integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part II,15,umsars_ii_02_speech,Speech,integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part II,16,umsars_ii_03_oculomotor_dysfunction,Ocular motor dysfunction,integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part II,17,umsars_ii_04_resting_tremor,Tremor at rest (most affected limb),integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part II,18,umsars_ii_05_action_tremor,Action tremor,integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part II,19,umsars_ii_06_increased_tone,Increased tone (most affected limb),integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part II,20,umsars_ii_07_rapid_alt_hand_movements,Rapid alternating movements of hands,integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part II,21,umsars_ii_08_finger_taps,Finger taps,integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part II,22,umsars_ii_09_leg_agility,Leg agility,integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part II,23,umsars_ii_10_heel_knee_shin_test,Heel-knee-shin test,integer,nullable,"y.isin([0,1,2,3,4])",
0,UMSARS part II,24,umsars_ii_11_arise_chair,Arising from chair,integer,nullable,"y.isin([0,1,2,3,4])",
